number,name,protein_group,ingredients,locations_count
79,SHAWN MICHAELS,Steak & beef,"Steak, Bacon, Extra Dirty Sauce, Mozzarella Sticks",4
157,GREEN LANTERN,Steak & beef,"Steak, Green Chiles, Godfather Sauce, Pepper Jack",3
381,JAMES HOWLETT,Steak & beef,"Chicken Fried Steak, Bacon, Honey Mustard, Mango Habanero, Pepper Jack",3
741,LOFRESNO NEAL,Steak & beef,"Steak, Real Honey, Pepper Jack",3
444,BEAR HUG,Steak & beef,"Steak, Bacon, Mushrooms, Stuffed Jalapeno Poppers, Extra Dirty Sauce",2
940,COLT HEARTED,Steak & beef,"Chicken Fried Steak, Dirty Dressing, Pepper Jack",2
37,FOXY BOXY,Steak & beef,"Steak, Creamy Horseradish, Gouda",2
339,JAMES BAHN,Steak & beef,"Steak, Sriracha, Cucumbers, Pepper Jack",2
911,MOBILE CRISIS #23,Steak & beef,"Chicken Fried Steak, Strawberry Preserves, Wasabi Mayo, Cheddar",2
840,SCREAMING EAGLE,Steak & beef,"Chicken Fried Steak, BBQ Sauce, Ranch, Pepper Jack",2
464,TEMPETATION,Steak & beef,"Steak, Ranch, Cheddar",2
780,A.L. MURPHY (Menifee Exclusive),Steak & beef,"Steak, Ike's Spicy Sweet Wasabi Sauce, Swiss",1
282,ALEEF NAVIDAD (Stonestown Exclusive),Steak & beef,"Steak, Fried Cheese Bites, Mushrooms",1
67,BAD SANTA,Steak & beef,"Chicken Fried Steak, Marinara, Pesto, Provolone",1
759,BOBBY GILBERT (Gilbert Exclusive),Steak & beef,"Steak, Bacon, Ike's Honey Island Sauce, Gouda",1
790,BROKEN WING (Legacy Village Exclusive),Steak & beef,"Chicken Fried Steak, Ike's Desert Dream Chipotle, Purple Slaw, Gouda",1
640,BURT REYNOLDS (Santa Clara Exclusive),Steak & beef,"Steak, Ike's Santa Clara BBQ, American",1
740,CALL ME SLURRICANE (Vallejo Exclusive),Steak & beef,"Chicken Fried Steak, Ike's Valley Joe Sauce, American",1
578,CHECKPOINT EAGLE (Sunnyvale Exclusive),Steak & beef,"Chicken Fried Steak, Ike's Orange Tomato Pesto, Pepper Jack",1
540,"CRAZY, STUPID LOVE (Emeryville Exclusive)",Steak & beef,"Chicken Fried Steak, Ike's Sweet Ranch, Swiss",1
791,DWHITING (Lake Forest Exclusive),Steak & beef,"Chicken Fried Steak, Ike's Sweet Pepper Glaze, Purple Slaw, Gouda",1
890,FIGURE IT OUT (Roseville Exclusive),Steak & beef,"Chicken Fried Steak, Ike's 16 Sauce, Avocado, Gouda",1
944,FOLLOW YOU DOWN (Desert Ridge Exclusive),Steak & beef,"Chicken Fried Steak, Ike's Desert BBQ Sauce, Gouda",1
1504,GRANT PINKERTON (HOUSTON EXCLUSIVE),Steak & beef,"Pinkerton Brisket, Pastrami, BBQ Aioli, Provolone",1
672,HANNIE CALDER (La Jolla Exclusive),Steak & beef,"Steak, Ike's Seuss Sauce, Fries, American",1
739,HATTIE M. (CENTRAL PARK EXCLUSIVE),Steak & beef,"Chicken Fried Steak, Mile High Sauce, Pepper Jack",1
581,HAYWOOD'S CHICKEN FRIED CHEESESTEAK (Hayward Exclusive),Steak & beef,"Chicken Fried Steak, Ike's Orange Wasabi Sauce, Swiss",1
781,HOLLYWOOD'S HOUSTON CHEESESTEAK - HOUSTON EXCLUSIVE,Steak & beef,"Pinkerton's Brisket (Non-Halal) Steak, Grilled Mushrooms, Provolone",1
419,KEENO'S LUNCHBOX SPECIAL,Steak & beef,"Steak, Zesty Orange Glaze, Avocado, Fries",1
953,LA CONFIDENTIAL (DTLA Exclusive),Steak & beef,"Steak, Beer-Battered Onion Rings, Ike's Million Island Dressing, Gouda",1
774,LANCE HARBOR (Georgetown Exclusive),Steak & beef,"Steak, Ike's Red Poppy Sauce, Fries, Gouda",1
303,LIL' MAC,Steak & beef,"Steak, Mozzarella Sticks, French Dressing, American",1
287,MAC DRE,Steak & beef,"Steak, Steak Sauce, Purple Slaw, Cheddar",1
2014,MADISON BUMGARNER: WORLD CHAMPIONSHIP EDITION,Steak & beef,"Steak, Yellow BBQ Sauce, (Light) Habanero, Beer-Battered Onion Rings, Purple Slaw, Avocado, American, Pepper Jack",1
912,MOTHER OF PHOENIX (Camelback Exclusive),Steak & beef,"Chicken Fried Steak, Ike's 5C Sauce, Gouda",1
767,"MUELLER, MUELLER (Mueller Exclusive)",Steak & beef,"Chicken Fried Steak, Ike's Creamy Orange Buffalo Sauce, Cheddar",1
857,NOT SO CURSED ANTIQUES (Del Mar Exclusive),Steak & beef,"Steak, Ike's AVA Sauce, Beer-Battered Onion Rings, Provolone",1
293,OLD EL CERRITO (El Cerrito Exclusive),Steak & beef,"Chicken Fried Steak, Ike's Pumpsie's BBQ Ranch, Gouda",1
883,PFLUGERSCHNITZEL (Pflugerville Exclusive),Steak & beef,"Chicken Fried Steak, Ike's Pfeastmode Mustard, Swiss",1
673,POLLIWOG (Manhattan Beach Exclusive),Steak & beef,"Chicken Fried Steak, Ike's Manhattan Beach BBQ Sauce, Avocado, Pepper Jack",1
676,SAFARI SURFIN' (Huntington Beach Exclusive),Steak & beef,"Chicken Fried Steak, Ike's Double H Sauce, Real Honey, Gouda",1
563,SAM BASS (Round Rock Exclusive),Steak & beef,"Chicken Fried Steak, Ike's Creamy Habanero, American",1
482,SPOCK (Walnut Creek Exclusive),Steak & beef,"Chicken Fried Steak, Ike's Southwest Pesto, Cheddar",1
745,THE AIRDROME (Monrovia Exclusive),Steak & beef,"Steak, Ike's Creamy Pesto, French Fries, Pepper Jack",1
778,YES I AM,Steak & beef,"Steak, Mack Sauce, Beer-Bettered Onion Rings, Purple Slaw, American",1
2242,CAM BRINK,Pastrami,"Pastrami, Purple Slaw, Buffalo Wing Sauce, Zesty Orange Glaze, Wasabi Mayo, Avocado, American, Pepper Jack, Extra Dirty Sauce",101
,ULTIMATE FIGHTING FORREST - Created With Forrest Griffin,Pastrami,"Pastrami, Godfather Sauce, Wasabi Mayo, Red Pesto, Pepper Jack, Cheddar",101
91.5,IKE'S REUBEN,Pastrami,"Pastrami, Mack Sauce, Purple Slaw, Gouda",66
91,PAUL REUBEN,Pastrami,"Pastrami, Purple Slaw, French Dressing, Swiss",41
97,PASTRAMI-CHARMED LIFE,Pastrami,"Pastrami, Purple Slaw, Honey Mustard, Pepper Jack",8
688,THE LAST DINOSAUR (COLORADO EXCLUSIVE),Pastrami,"Pastrami, Ike's Chipotle Sauce, Pepper Jack",6
24,SAY HEY,Pastrami,"Pastrami, Bacon, Swiss",4
562,DIRTBAGS (Long Beach Exclusive),Pastrami,"Pastrami, Ike's Habanero BBQ, Purple Slaw, Cheddar",2
57,TED ROBINSON,Pastrami,"Pastrami, Provolone",2
124,660,Pastrami,"Pastrami, Bacon, Avocado, Swiss",1
770,BURRITO BETRAYAL (Mission Valley Exclusive),Pastrami,"Pastrami, Salami (Beef), Fries, Ike's Friar Sauce, Gouda",1
561,CAPTAIN CARL (Northridge Exclusive),Pastrami,"Pastrami, Ike's Fire Island Dressing, Purple Slaw, American",1
397,CLEMSON TIGERS,Pastrami,"Pastrami, Bacon, Wasabi Mayo, Swiss",1
593,FRANK LLOYD WRIGHT (Scottsdale Exclusive),Pastrami,"Pastrami, Ike's Flower Sauce, Pepper Jack",1
397,GO TIGERS,Pastrami,"Pastrami, Bacon, Wasabi Mayo, Swiss",1
999,HOT JARVI-Q,Pastrami,"Pastrami, Salami (Beef), BBQ Sauce, Sriracha, Pepper Jack",1
995,I WILL STEAL YOU BACK (Alma School Exclusive),Pastrami,"Pastrami, Ike's Mesa City Sauce, Gouda",1
530,JULIA GULIA,Pastrami,"Pastrami, Bacon, Honey Mustard, Habanero, Pepper Jack",1
557,NEED FOR SPEED (Bakersfield Marketplace Exclusive),Pastrami,"Pastrami, Ike's Mango Habanero Wing Sauce, Purple Slaw, Provolone",1
4040,PATINO D's,Pastrami,"Pastrami, Bacon, Honey Mustard, Swiss, Pepperjack",1
742,RITTENHOUSE (Queen Creek Exclusive),Pastrami,"Pastrami, Bacon, Ike's Horseshoe BBQ Sauce, Gouda",1
1848,RIVER CITY REUBEN (Arden Exclusive),Pastrami,"Pastrami, Ike's Sutter Slaw, Swiss",1
604,TELEGRAPH (Berkeley Exclusive),Pastrami,"Pastrami, Ham, Ike's Golden Bear Sauce, Cheddar",1
591,THE BEE (Sacramento Exclusive),Pastrami,"Pastrami, Ike's Hornet Sauce, Purple Slaw, American",1
513,THE ROCKWELL (Daly City Exclusive),Pastrami,"Pastrami, Ike's Madden Sauce, Purple Slaw, Provolone",1
504,THE THUNDERBIRD (Tempe South Exclusive),Pastrami,"Pastrami, Ike's Thunderbird Sauce, Gouda",1
641,TOM TERRIFIC (Fresno Palmdon Exclusive),Pastrami,"Pastrami, Ike's Tangy Spicy BBQ Sauce, American",1
527,TR'S ROUGH RIDER (Phoenix Exclusive),Pastrami,"Pastrami, Ike's Buffalo Fry Sauce, American",1
24,TRITONS,Pastrami,"Pastrami, Bacon, Swiss",1
365,ULTIMATE WARRIOR,Pastrami,"Pastrami, Bacon, Mushrooms, Avocado, Swiss",1
850,VICTORY LAP,Pastrami,"Pastrami, Mushrooms, Pesto, Godfather, Pepper jack",1
916,YOLO (COUNTY) (Davis Exclusive),Pastrami,"Pastrami, Ham, Ike's Aggie Sauce, American",1
668,"TURKEY, TURKEY!",Ham,Your choice of ham or turkey and American cheese,102
63,HELLA FAT BASTARD,Ham,"Ham, Bacon, Mozzarella Sticks, Extra Dirty Sauce, American",82
129,RANDY HAHN,Ham,"Ham, Cheddar",13
21,REGGIE JACKSON,Ham,"Ham, Bacon, Extra Dirty Sauce, American",6
33,AL BUNDY,Ham,"Ham, Salami, French Dressing, Avocado, Gouda",3
21,TEDDY BALLGAME,Ham,"Ham, Bacon, Extra Dirty Sauce, American",3
46,THE KUIP,Ham,"Ham, Salami (Beef), Mack Sauce, Cheddar, Pepper Jack",3
433,DAMN BUNDYS,Ham,"Ham, Salami (Beef), Bacon, French Dressing, Avocado, Gouda",2
21,ACALANES,Ham,"Ham, Bacon, Extra Dirty Sauce, American",1
554,ANGEL MY ANGEL,Ham,"Ham, Pastrami, French Dressing, Provolone",1
555,DIMAGGIO,Ham,"Ham, Honey Mustard, American",1
21,EYE OF THE TIGERS,Ham,"Ham, Bacon, Extra Dirty Sauce, American",1
21,FAT BASTARD,Ham,"Ham, Bacon, Extra Dirty Sauce, American",1
94,KING HIPPO,Ham,"Ham, Bacon, Stuffed Jalapeno Poppers, Extra Dirty Sauce, American",1
131,MATERIAL BOY,Ham,"Ham, Honey Mustard, Mushrooms, Provolone",1
20,PARADISE FOUND,Ham,"Ham, Pineapple, Marinara, Provolone",1
970,RAM BAM THANK YOU MA'AM (FORT COLLINS EXCLUSIVE),Ham,"Bacon, Ham, Salami, FoCo French, Smoked Gouda",1
21,TED WILLIAMS,Ham,"Ham, Bacon, Extra Dirty Sauce, American",1
21,THE GRIZZLY,Ham,"Ham, Bacon, Extra Dirty Sauce, American",1
601,NINJA TURTLE,Salami,"The best pizza (sandwich) you'll ever try: Salami (Beef), Marinara, Dirty Sauce and Provolone",102
343,CABLE CAR,Salami,"Salami, Bacon, Provolone Cheese",4
360,ANDRE SOG WARD,Salami,"Salami (Beef), Pesto, Creamy Caesar, Provolone",2
460,SAL'S GRAND SALAMI SANDWICH,Salami,"Salami (Beef), Swiss",2
227,LARRY ELLISON,Salami,"Salami (Beef), Bacon, Avocado, Cheddar",1
459,SALAMI CHARMED LIFE,Salami,"Salami (Beef), Bacon, Godfather Sauce, Cheddar",1
502,SPEED CITY (DTSJ Exclusive),Salami,"Salami (Beef), Ike's Incredible Hulk Sauce, Purple Slaw, Cheddar",1
84,LUIGI,Meatball,"All-Beef Meatballs, Marinara, Stuffed Jalapeno Poppers",27
23,MJ,Meatball,"All-Beef Meatballs, Marinara, Pepper Jack",18
8,STEVE YOUNG,Meatball,"All-Beef Meatballs, Bacon, Marinara, Pepper Jack",18
85,MARIO,Meatball,"All-Beef Meatballs, Marinara, Mozzarella Sticks",12
168,ALEX SMITH,Meatball,"All-Beef Meatballs, Ranch, Marinara, Pepper Jack",10
123,JOKER,Meatball,"All-Beef Meatballs, Fried Zucchini, Red Pesto, Ranch",7
185,VERNON DAVIS,Meatball,"All-Beef Meatballs, Marinara, Ranch, Mozzarella Sticks",7
4949,THE SENIOR- Created With Michael Chiklis,Meatball,"All Beef Meatballs, Salami (Beef), Ham, Pesto, Provolone",6
86,KING KOOPA,Meatball,"All-Beef Meatballs, Marinara, Mozzarella Sticks, Stuffed Jalapeno Poppers",8
87,LEGEND OF ZELDA,Meatball,"All-Beef Meatballs, Marinara, Fried Zucchini, Pepper Jack",5
93,BIG LEE-BOWSKI,Meatball,"All-Beef Meatballs, Bacon, Mozzarella Sticks, Red Pesto, Ranch, Habanero",4
846,ZAMPERINI,Meatball,"All-Beef Meatballs, Fries, Ike's Golden BBQ Sauce, Cheddar",2
899,BEN DOVER,Meatball,"All-Beef Meatballs, Marinara, Artichoke Hearts, Provolone",1
683,BUY YOUR OWN DAM RUG!,Meatball,"All-Beef Meatballs, Red Pesto, Ranch, Mozzarella Sticks",1
748,DOIN' TIME (Westminster Exclusive),Meatball,"All-Beef Meatballs, Beer-Battered Onion Rings, Ike's Goldenwest BBQ Sauce, Gouda",1
483,ERNEST GOES TO JAIL,Meatball,"All-Beef Meatballs, Bacon, Red Pesto, Ranch, Provolone",1
785,HARVEST MOON HUNTER (LONGMONT EXCLUSIVE),Meatball,"All-Beef Meatballs, French Fries, Prospect Pesto, Provolone",1
836,HEY BERNARDO (Pinole Exclusive),Meatball,"All-Beef Meatballs, Ike's Perky Pesto, Gouda",1
1396,JARED THE GALLERIA OF MEATBALLS,Meatball,"All-Beef Meatballs, Bacon, BBQ, Sriracha, Beer-Battered Onion Rings, Cheddar",1
184,METROID,Meatball,"All-Beef Meatballs, Beer-Battered Onion Rings, Marinara",1
888,SWEDISH HOUSE MAFIA,Meatball,"All-Beef Meatballs, Godfather, Cranberry, Sriracha, Provolone",1
23,THE CATCH,Meatball,"All-Beef Meatballs, Marinara, Pepper Jack",1
583,THE WEDGE (Newport Beach Exclusive),Meatball,"All-Beef Meatballs, Ike's Red Ranch, Cucumbers",1
546,WINCHESTER MYSTERY HOUSE (Santana Row Exclusive),Meatball,"All-Beef Meatballs, Ike's Mango Habanero Caesar, Gouda",1
151,BUDDY KITTY,Bacon,"Bacon, Dirty Dressing, Avocado, Pepper Jack",16
3,MAYOOSE'S CA-BLT,Bacon,"Bacon, Avocado, Provolone",6
167,SMASH MOUTH,Bacon,"Bacon, Cream Cheese, Provolone",5
804,THE SAVANNY,Bacon,"Breaded Eggplant, Bacon, Marinara, Ranch, Pepper Jack",5
1112,AIN'T NOTHING BUT A MR. G THING BABY,Bacon,"Bacon, Mushrooms, Real Honey, Swiss",3
380,THE LAST KISS,Bacon,"Bacon, Honey Mustard, Pepper Jack",2
783,ANDRE REED,Bacon,"Bacon, Buffalo Wing Sauce, Lettuce, Tomato, Avocado, Pepper Jack",1
597,BY GEORGE! (Berkeley Exclusive),Bacon,"Bacon, Ike's Golden Bear Sauce, Cheddar",1
138,CHASED & CONFUSED,Bacon,"Bacon, Flaming Hot Cheetos, Stuffed Jalapeno Poppers, Ranch, Red Pesto",1
115,KEVIN BACON,Bacon,"Bacon, Lettuce, Tomato, Provolone",1
687,MALLORY (Woodland Hills Exclusive),Bacon,"Bacon, Ike's Mango Habanero Buffalo, Swiss",1
827.2,MAY$E,Bacon,"Double Bacon, Avocado, Extra Dirty Sauce, Asian Sesame Dressing, Sriracha",1
872,"MAYSE, IN A COOL HAT, MAKING LEMONADE (Stonestown Exclusive)",Bacon,"Bacon, Fried Cheese Bites",1
526,HOWIE EAT IT,Seafood,"Tuna, Godfather Sauce, Pepper Jack",132
325,AMUNA'S TUNA,Seafood,"Tuna, Red Pesto, Grilled Tomatoes, Cheddar",82
14,CHIPPER'S FAVE,Seafood,"Tuna, Avocado, American",13
128,TONY STARK,Seafood,"Tuna, Provolone",5
13,PAPA SAM,Seafood,"Wild Salmon Burger, Provolone",3
56,NACHO GIRL,Seafood,"Wild Salmon Burger, Mushrooms, Avocado, Swiss",2
316,SHANNON ROWBURY,Seafood,"Wild Salmon Burger, Teriyaki, Wasabi Mayo, Provolone",2
29,BUDDY'S FAVE,Seafood,"Lobster Salad, American",1
674,CASTILE (Sorrento Valley Exclusive),Seafood,"Tuna, Ike's Basil Pepper Pesto, Avocado, Gouda",1
696,CRYSTAL COVE (Newport Beach Exclusive),Seafood,"Wild Salmon Burger, Ike's Red Ranch",1
14,FLIPPER,Seafood,"Tuna, Avocado, American",1
14,FRED SAVAGE,Seafood,"Tuna, Avocado, American",1
802,HOLLYWOULD'S SURF & TURF,Seafood,"Dirty Lobster Salad, Steak, Mushrooms, Provolone",1
256,NACHO GIRL SUPREME,Seafood,"Wild Salmon Burger, Bacon, Mushrooms, Avocado, Provolone",1
351,NOAH LOWRY,Seafood,"Tuna, Bacon, American, Pepper Jack",1
757,PHAROAH'S GERFILTERFISH,Seafood,"Salmon Burger, Teriyaki, Wasabi Mayo, Light Habanero, Sriracha, Avocado, Pepper Jack",1
128,SORRY CHARLIE,Seafood,"Tuna, Provolone",1
465,SQUARE ONE,Seafood,"Tuna, Red Pesto, Cheddar",1
613,STAND BY ME (Burbank Exclusive),Seafood,"Wild Salmon Burger, Ike's Wasabi Honey Mustard, Provolone",1
122,IKE'S RED HOT SOARING SAUSAGE,Sausage / hot link,"Hot Link, Marinara, Provolone",1
22,WILL THE THRILL,Sausage / hot link,"Hot Link (Halal), Provolone",1
301,VEGAN HANDSOME OWL,Vegan - chicken,"Vegan Chicken, Teriyaki, Wasabi Mayo, Vegan Cheese",106
315,VEGAN BONNIE-JILL,Vegan - chicken,"Vegan Fried Chicken, Marinated Artichoke Hearts, Sriracha, Marinara",105
414,VEGAN LITACANRANA,Vegan - chicken,"Vegan Chicken, Teriyaki, Wasabi Mayo, Mushrooms, Vegan Cheese",105
299,VEGAN MEL-LO KITTY,Vegan - chicken,"Vegan Chicken, Zesty Orange Glaze, Avocado, Vegan Cheese",105
301,HANDSOME OWL,Vegan - chicken,"Vegan Chicken, Teriyaki, Wasabi Mayo, Swiss",104
892,VEGAN PIRATES OR PILATES?,Vegan - chicken,"Vegan Chicken, Mushrooms, Zesty Orange Glaze, Vegan Cheese",105
,VEGAN CHICK'N NUGGETS,Vegan - chicken,"10 pieces of vegan chicken, with your choice of up to 2 sauces",102
205,VEGAN PUMPKIN,Vegan - chicken,"Vegan Chicken, Pesto, Mushrooms, Avocado, Pepper Jack, Vegan Cheese",99
1122,VEGAN TAILOR'S BOOTY,Vegan - chicken,"Vegan Fried Chicken, Zesty Orange Glaze, Yellow BBQ Sauce, Vegan Cheese",98
210,VEGAN TERMINATORS,Vegan - chicken,"Vegan Chicken, Marinara, Vegan Cheese",94
298,JAYMEETLESS,Vegan - chicken,"Vegan Fried Chicken, Yellow BBQ Sauce, Ranch, Pepper Jack",89
204,VEGAN SABRINA'S SMILE,Vegan - chicken,"Vegan Chicken, Italian Dressing, Vegan Cheese",88
849,VEGAN TOROS,Vegan - chicken,"Vegan Chicken, Buffalo Wing Sauce, Yellow BBQ Sauce, BBQ Sauce, Vegan Cheese",76
892,PIRATES OR PILATES?,Vegan - chicken,"Vegan Chicken, Mushrooms, Zesty Orange Glaze, Pepper Jack",57
315,BONNIE-JILL,Vegan - chicken,"Vegan Fried Chicken, Marinated Artichoke Hearts, Marinara, Sriracha",51
206,MOBILE MAMA,Vegan - chicken,"Vegan Chicken, Buffalo Wing Sauce, Ranch, Provolone",48
1122,TAILOR'S BOOTY,Vegan - chicken,"Vegan Fried Chicken, Zesty Orange Glaze, Yellow BBQ Sauce, Pepper Jack, Provolone",37
249,GO KINGS!,Vegan - chicken,"Vegan Chicken, Buffalo Wing Sauce, Honey Mustard, Gouda",21
249,GO SHARKS!,Vegan - chicken,"Vegan Chicken, Buffalo Wing Sauce, Honey Mustard, Gouda",21
299,MEL-LO KITTY,Vegan - chicken,"Vegan Chicken, Zesty Orange Glaze, Avocado, Pepper Jack",20
414,LITACANRANA,Vegan - chicken,"Vegan Chicken, Teriyaki, Wasabi Mayo, Mushrooms, Swiss",15
550,KEENO SUAVE,Vegan - chicken,"Vegan Fried Chicken, Mushrooms, Asian Sesame, Avocado, Pepper Jack",13
311,LOVE TRIANGLE,Vegan - chicken,"Vegan Chicken, BBQ Sauce, Honey Mustard, Real Honey, Pepper Jack, Swiss, Cheddar",13
246,JAMES & THE GIANT PEACH,Vegan - chicken,"Vegan Fried Chicken, Yellow BBQ Sauce, Cheddar",12
276,JESSICA RABBIT,Vegan - chicken,"Vegan Chicken, Buffao Wing Sauce, Ranch, Stuffed Jalapeno Poppers",11
217,WILDCAT,Vegan - chicken,"Vegan Chicken, BBQ Sauce, Cheddar",10
230,BRUTUS,Vegan - chicken,"Vegan Chicken, Creamy Caesar, Marinated Artichoke Hearts, Provolone",9
246,VEGAN JAMES & THE GIANT PEACH,Vegan - chicken,"Vegan Fried Chicken, Yellow BBQ Sauce, Vegan Cheese",9
476,NO PLACE LIKE HOME,Vegan - chicken,"Vegan Fried Chicken, Buffalo Wing Sauce, Ranch, Gouda",8
300,VEGAN TOM BRADY,Vegan - chicken,"Vegan Chicken, Italian Dressing, Mushrooms, Avocado, Vegan Cheese",8
217,VEGAN WILDCAT,Vegan - chicken,"Vegan Chicken, BBQ Sauce, Vegan Cheese",8
205,PUMPKIN,Vegan - chicken,"Vegan Chicken, Pesto, Mushrooms, Avocado, Pepper Jack, Provolone",7
206,XXX-TINA,Vegan - chicken,"Vegan Chicken, Buffalo Wing Sauce, Ranch, Provolone",7
251,EXTRATERRESTRIAL,Vegan - chicken,"Vegan Chicken, Southwest Pesto, Mushrooms, Pepper Jack",6
127,LOS LOVOS,Vegan - chicken,"Vegan Chicken, Veggie Bacon, Honey Mustard, Avocado, Pepper Jack",6
627,TYRAWR!,Vegan - chicken,"Vegan Chicken, Veggie Bacon, Buffalo Wing Sauce, Ranch, Gouda",6
210,TERMINATORS,Vegan - chicken,"Vegan Chicken, Marinara, Provolone",5
217,WOLFPACK,Vegan - chicken,"Vegan Chicken, BBQ Sauce, Cheddar",5
209,BLIND DATE,Vegan - chicken,"Vegan Chicken, Honey Mustard, Avocado, Pepper Jack",4
204,SABRINA'S SMILE,Vegan - chicken,"Vegan Chicken, Italian Dressing, Pepper Jack",4
296,THE PANTHER,Vegan - chicken,"Vegan Chicken, Red Pesto, Ranch, Pepper Jack",4
296,PANTHERS,Vegan - chicken,"Vegan Chicken, Red Pesto, Ranch, Pepper Jack",3
235,THE TIME TRAVELER'S WIFE,Vegan - chicken,"Vegan Fried Chicken, Zesty Orange Glaze, Provolone",3
298,VEGAN JAYMEETLESS,Vegan - chicken,"Vegan Fried Chicken, Yellow BBQ Sauce, Vegan Cheese",3
217,VEGAN WOLFPACK,Vegan - chicken,"Vegan Chicken, BBQ Sauce, Vegan Cheese",3
210,DON JUAN,Vegan - chicken,"Vegan Chicken, Marinara, Provolone",2
849,EL TORO,Vegan - chicken,"Vegan Chicken, Buffalo Wing Sauce, Yellow BBQ Sauce, BBQ Sauce, Provolone",2
449,FORGETTING SARAH MARSHALL,Vegan - chicken,"Vegan Chicken, BBQ Sauce, Ranch, Pepper Jack",2
217,GREAT AMERICA,Vegan - chicken,"Vegan Chicken, BBQ Sauce, Cheddar",2
296,HOLY NAME PANTHERS,Vegan - chicken,"Vegan Chicken, Red Pesto, Ranch, Pepper Jack",2
428,I'M A RAINBOW TOO,Vegan - chicken,"Vegan Chicken, BBQ Sauce, Ranch, Provolone, Cheddar",2
217,JANIS JOPLIN,Vegan - chicken,"Vegan Chicken, BBQ Sauce, Cheddar",2
458,MS. KRABAPPEL,Vegan - chicken,"Vegan Chicken, Buffalo Wing Sauce, Ranch, Mozzarella Sticks",2
491,MURPHY JACK (CENTRAL PARK EXCLUSIVE),Vegan - chicken,"Vegan Fried Chicken, Mile High Sauce, Pepper Jack",2
296,SPARTANS,Vegan - chicken,"Vegan Chicken, Red Pesto, Ranch, Pepper Jack",2
210,VEGAN DON JUAN,Vegan - chicken,"Vegan Chicken, Marinara, Vegan Cheese",2
849,VEGAN EL TORO,Vegan - chicken,"Vegan Chicken, Buffalo Wing Sauce, Yellow BBQ Sauce, BBQ Sauce, Vegan Cheese",2
217,VEGAN GREAT AMERICA,Vegan - chicken,"Vegan Chicken, BBQ Sauce, Vegan Cheese",2
217,VEGAN JANIS JOPLIN,Vegan - chicken,"Vegan Chicken, BBQ Sauce, Vegan Cheese",2
206,VEGAN MOBILE MOMMA,Vegan - chicken,"Vegan Chicken, Buffalo Wing Sauce, Vegan Cheese",2
292,VEGAN PIRATES OF THE CARIBBEAN,Vegan - chicken,"Vegan Chicken, Zesty Orange Glaze, Vegan Cheese",2
235,VEGAN THE TIME TRAVELER'S WIFE,Vegan - chicken,"Vegan Fried Chicken, Zesty Orange Glaze, Vegan Cheese",2
679,A SANDWICH CALLED QUEST (El Segundo Exclusive),Vegan - chicken,"Vegan Fried Chicken, Ike's Second Sauce, Provolone",1
717,ALICE INOUE,Vegan - chicken,"Vegan Chicken, Ranch, Cucumber, Provolone",1
217,BANANA SLUG,Vegan - chicken,"Vegan Chicken, BBQ Sauce, Cheddar",1
658,BARBETTE (Round Rock Exclusive),Vegan - chicken,"Vegan Fried Chicken, Ike's Creamy Habanero, Swiss",1
694,BATTLE BORN DERBY DEMONS (Reno Summit Exclusive),Vegan - chicken,"Vegan Fried Chicken, Ike's Orange Wasabi Sauce, Swiss",1
149,BULLS,Vegan - chicken,"Vegan Chicken, Real Bacon, Yellow BBQ, BBQ Sauce, Buffalo Wing Sauce, Mozzarella Sticks",1
868,CAMELBACK (Camelback Exclusive),Vegan - chicken,"Vegan Fried Chicken, Ike's 5C Sauce, Gouda",1
798,COLDWATER (Avondale Exclusive),Vegan - chicken,"Vegan Fried Chicken, Ike's Cool Ranch Buffalo, Gouda",1
395,CONCORD PAVILION (Concord Exclusive),Vegan - chicken,"Vegan Fried Chicken, Ike's Spicy Willow Sauce, Provolone",1
998,CRAZY/PSYCHO/CHAMPAGNE (Roseville Exclusive),Vegan - chicken,"Vegan Fried Chicken, Ike's 16 Sauce, Gouda",1
758,DESERT RIDGE (Desert Ridge Exclusive),Vegan - chicken,"Vegan Fried Chicken, Ike's Desert BBQ Sauce, Purple Slaw, Gouda",1
257,EL CERRITO PLACE (El Cerrito Exclusive),Vegan - chicken,"Vegan Fried Chicken, Ike's Pumpsie's BBQ Ranch, Gouda",1
217,EVERETT MIDDLE SCHOOL,Vegan - chicken,"Vegan Chicken, BBQ Sauce, Cheddar",1
488,FUN HOUSE (Manhattan Beach Exclusive),Vegan - chicken,"Vegan Fried Chicken, Ike's Manhattan Beach BBQ Sauce, Avocado, Pepper Jack",1
837,GLEN OF THE ALDERS (Lake Forest Exclusive),Vegan - chicken,"Vegan Fried Chicken, Ike's Sweet Pepper Glaze, Purple Slaw, Gouda",1
678,HAY HAY HAY (Gilbert Exclusive),Vegan - chicken,"Vegan Fried Chicken, Veggie Bacon, Ike's Honey Island Sauce, Gouda",1
296,JACKRABBITS,Vegan - chicken,"Vegan Chicken, Red Pesto, Ranch, Pepper Jack",1
923,JEFFREY'S HUNGRY LIKE THE WOLFE,Vegan - chicken,"Vegan Chicken, Zesty Orange Glaze, Avocado, VooDoo Chips, Pepper Jack",1
1244,JOHNNY IGAZ,Vegan - chicken,"Vegan Chicken, Marinara, Buffalo Wing Sauce, Pepper Jack",1
1116,JUDSON DRIVE (Mountain View Exclusive),Vegan - chicken,"Vegan Fried Chicken, Ike's Foxfire Sauce, Pepper Jack",1
